Name,Address,Latitude,Longitude
코만도,대전 대덕구 석봉로43번길 1,36.4476618864553,127.426538715273
베스토아(용전2호),"대전 동구 동서대로 1689, 터미널 W158",36.3503349793975,127.436711042049
플러스원,대전 서구 계백로 1390-1,36.3111606588887,127.376319328016
아이마트,대전 서구 둔산로 230,36.3510422761057,127.399503941088
대일수퍼,대전 서구 월평중로24번길 48,36.3565158674934,127.366512878436
가나,대전 중구 선화로 8,36.3247950312081,127.410866452411
서산터미널복권방,충남 서산시 안견로 190,36.781880649023,126.458147061807
시민슈퍼복권방,"충남 서산시 문화로 51, 102호",36.7856712007341,126.447930264676
"나눔로또,토토",충남 서산시 무학로 1742,36.7576354630369,126.428592329295
21시수퍼,충남 아산시 온천대로 1528-1,36.7804651335912,127.007303265209
복권나라,충북 제천시 청풍호로 52,37.1265267151665,128.202751056928
SUN마트 예대점,"충북 청주시 흥덕구 송화로150번길 15-2, 102호",36.6647866561298,127.451048410768
영화마을(현대점),"충북 청주시 청원구 주성로 194, 102호",36.6717938617349,127.487706222629
피시복권방,충북 청주시 흥덕구 1순환로513번길 4,36.6465143574374,127.465217384327
부영상회,충북 충주시 칠금중앙로 38,36.9817805755984,127.919090879295
토토양행,경북 경주시 태종로 801-4,35.8411664570841,129.21592582985
GMART,경북 구미시 구미중앙로 57-3,36.1300209053001,128.32904238643
오천웰빙마트,경북 포항시 남구 오천읍 해병로269번길 27,35.9709962866545,129.414453917556
복권나라,경북 포항시 북구 장량로140번길 9,36.0807952248086,129.396033290327
오케이할인마트,대구 남구 대명로 234-2,35.8411123187796,128.582394579216
대림서점,대구 남구 중앙대로 158,35.8473324453321,128.590832008845
이솝비디오대여점,대구 남구 명덕로 228-30,35.8561425251091,128.595918588748
이마트24달서송현점,대구 달서구 송현로 32,35.8219904455022,128.548568392285
LA24시편의점,"대구 달서구 달구벌대로 1005, 103호",35.8533978739491,128.477120118727
씨스페이스(수성3가점),대구 수성구 명덕로 442-3,35.8539222064152,128.618528042958
동인마트,대구 중구 태평로 266,35.8786084974756,128.581297678773
기장수퍼,부산 기장군 기장읍 차성동로 69,35.243881875159,129.216517117269
백경슈퍼(백경편의점),부산 남구 용소로 40,35.1337385126443,129.100844430012
천하명당복권방,부산 동구 초량중로 78,35.1186104337132,129.039314751256
동해수퍼,부산 동래구 충렬대로 175,35.2040677072955,129.079318961141
우리들마트,"부산 동래구 온천장로119번길 20, 10호",35.221634159317,129.08381668177
아트슈퍼,부산 부산진구 가야대로 490,35.1529182611219,129.025590951996
조이풀,부산 남구 용호로198번길 23,35.1146562831074,129.109657477984
스위트초이스(엄궁점),"부산 사상구 사상로 300, 상가 401동 13호",35.1716317464552,128.983687212587
대학도수퍼(대학로슈퍼),부산 사상구 가야대로 366-1,35.1509779970809,129.01254945522
해피마트,부산 사하구 낙동대로 521-1,35.1106823812813,128.96526059919
